Year,Month,INFLOW ,RESERVOIR STORAGE ,EVAPORATION,RESERVOIR LEVEL ,RELEASE (OUTFLOW),RELEASE (OUTFLOW)Predicted  Factor
1989,January,613.89,2.53,5.1,484.22,583.6,0.90149853
,February,640.2,1.84,-9.2,477.17,589.3,0.90439462
,March,785,0.79,-19.8,462.44,730.2,1.01397529
,April,1005.6,0.45,-19.5,455.66,1338.8,1.21092091
,May,1256.7,0.67,-20.4,460.13,1839.6,1.44274383
,June,1017.8,0.87,10.6,463.97,3373.8,1.26102447
,July,3259.5,2.71,25.4,486.02,2845.2,3.34313777
,August,2550.9,4.34,-13.4,499.42,1763,2.66409742
,September,1174.4,4.65,-16.9,501.61,1390,1.40399081
,October,753.5,4.28,-7.6,498.91,1151.4,1.02718266
,November,698.4,3.52,-4.1,493.01,1417.4,0.97578706
,December,665.4,2.61,-6.1,485.02,914.7,0.93700387
1990,January,610.5,1.81,6.1,476.86,594.2,0.89368151
,February,637.8,1.14,-9.1,468.28,597.7,0.89547298
,March,747.1,0.55,-19.9,457.76,731.1,0.97576201
,April,1119.8,0.4,-19.9,454.68,1337.9,1.31413868
,May,1775.6,0.53,-22.3,457.4,1839.9,1.91292695
,June,3460,0.92,15.1,464.75,3785.4,3.4986881
,July,4429.2,2.66,17.3,485.46,3053.6,4.40297766
,August,2767.4,4.58,-10.1,501.09,1718.9,2.86697424
,September,1129.7,4.66,-17.4,501.7,1378.5,1.3626623
,October,725.4,4.18,-10.3,498.18,1242.1,0.99794998
,November,658.7,3.49,-1.1,492.81,1304.6,0.94260241
,December,629.8,2.7,-5.4,485.86,878,0.90589966
1991,January,586.2,1.95,-2.1,478.33,564.4,0.86368943
,February,600,1.23,-5.3,469.71,576.9,0.86614171
,March,694,0.61,-16.6,458.86,687.6,0.93164351
,April,1204,0.42,-27.8,454.99,1436.1,1.38272024
,May,2134,1.15,-21.8,468.42,1840,2.24926337
,June,2946.5,2.09,-7.5,479.88,5826.1,3.01632863
,July,6826.4,2.79,3,486.75,3564,6.57945355
,August,3292.1,4.47,-9.8,500.37,1836.6,3.34626707
,September,1105.8,5.13,-16.4,504.98,1388.4,1.34465363
,October,731.4,4.6,-11.1,501.23,1226.4,1.00509738
,November,649.7,3.87,-4.3,495.78,1421.1,0.93332673
,December,614.4,2.72,6.2,486.05,752.1,0.9046195
1992,January,616.8,1.81,-0.1,476.92,539,0.89272287
,February,624.6,1.25,-5.7,469.88,636,0.88832783
,March,751.2,0.7,-17.2,460.86,768.3,0.98473726
,April,1396.4,0.8,-23,462.75,1466.6,1.5695301
,May,2006.7,1.32,-26.8,470.84,1839.8,2.12930064
,June,2228.7,2.75,-1.3,486.3,5012.9,2.37211785
,July,6742.1,3.83,-3.3,495.45,5391.1,6.50260175
,August,5125.5,5.24,-1.3,505.71,1817.5,5.03573526
,September,1257.8,5.76,-14.1,509.03,1444.5,1.48953158
,October,812.8,5.35,-7.9,506.42,1248.9,1.08733657
,November,718.6,4.59,-8.2,501.17,1416.8,0.99650747
,December,654.8,3.57,-0.7,493.47,910.2,0.94001097
1993,January,618.9,2.67,-1.7,485.59,631.8,0.89975319
,February,628,1.82,-4.3,477.02,608.6,0.89846082
,March,707.9,0.86,-20.2,463.86,736.2,0.94411786
,April,1275.5,0.46,-26.5,455.99,1489.4,1.45021644
,May,2179.3,0.2,-20.6,450.45,1840,2.2786459
,June,3737.7,0.4,-1.2,454.95,4381.7,3.7274675
,July,4505.2,1.16,-16.4,468.99,2509.2,4.42282774
,August,2256.8,2.5,15.6,484.5,1961.1,2.4147237
,September,1666.6,2.8,-18.5,487.34,1574.9,1.84037664
,October,793.6,2.61,-11.1,486.87,1202.6,1.04999777
,November,703.1,2.1,-8.6,481.89,1712.9,0.96605144
,December,640.4,1.59,-3.3,475.95,821.6,0.90990775
1994,January,613.1,1.03,-1.9,469.08,715,0.88117793
,February,611.4,0.88,-8.6,466.7,471,0.8705302
,March,721.8,0.9,-10.9,467.05,567.1,0.96919
,April,859.8,0.84,-28.1,466.05,1306.6,1.0758247
,May,1903,0.99,-21.6,468.4,1839.9,2.03816485
,June,4551,1.93,32.9,480.1,7951.4,4.52685975
,July,7489,4.69,37.5,503.32,4432.6,7.23604647
,August,4126.3,5.61,8,509.41,1700.7,4.13553201
,September,1349.6,6.23,-14.4,512.06,1551.1,1.57568421
,October,859.7,5.8,-8.6,510.62,1208.6,1.13279612
,November,749.6,5.34,-6,506.81,1417.5,1.03189976
,December,692.8,4.39,0.9,500.24,1081.8,0.98199629
1995,January,666.2,3.59,4.8,494.15,671.4,0.95691315
,February,680.7,2.67,-10.2,486.12,658.6,0.94733697
,March,800.8,2.02,-17.7,479.55,746.2,1.0437406
,April,1120,1.68,-25.3,475.94,1278.5,1.32437024
,May,1585.5,2.47,-22.2,484.2,1839.9,1.75971605
,June,3314.4,1.93,10.5,478.64,2495.3,3.37118979
,July,3351,3.78,34,495.62,4692.4,3.44385722
,August,4389.6,5.94,9.3,510.65,2905.1,4.378804
,September,2616.9,5.81,-15.3,509.82,1508.3,2.73103567
,October,963.8,5.54,-9.4,508.13,1324.3,1.22508908
,November,813.5,4.94,-6.2,504.1,1470.2,1.0878053
,December,742.8,4.15,-1.1,498.48,1176.2,1.02405573
1996,January,719.8,3.28,7.5,491.52,747.3,1.00671532
,February,771.6,2.78,-10.6,487.14,841.7,1.03079934
,March,1165.3,2.54,-21.3,484.81,860,1.37712656
,April,1399.8,1.85,-25.7,477.8,1648.9,1.58112675
,May,2333.1,1.55,-3.2,474.19,4548,2.45589499
,June,6949,2.04,0.6,479.83,6924.5,6.68335558
,July,6195.1,3.11,41.2,490.06,6282.5,6.04669161
,August,5972.5,4.99,-6.6,504.47,1889.6,5.80300187
,September,1617.4,5.13,-7.1,505.46,1511.4,1.82272231
,October,983.7,4.65,-9.2,502.08,1341.6,1.23840643
,November,831.3,4,-7.6,497.31,1532,1.09689886
,December,744.9,3.28,-3.4,491.51,1155.5,1.01776886
1997,January,703.1,2.54,-3.6,484.82,753.6,0.97397562
,February,672.8,1.7,-9.2,476.09,617.2,0.93330244
,March,732.2,0.84,-11.3,463.97,693.6,0.97608342
,April,979,0.76,-25.1,462.52,1165.2,1.18553752
,May,1385.4,0.99,-18,466.25,1840,1.56752755
,June,2555.5,3.06,4.9,489.65,2926.8,2.6801962
,July,4685.1,4.45,21.9,500.68,3754.6,4.65421363
,August,3464,5.87,-11.3,510.21,1773.9,3.50997591
,September,1328,6.15,-5.3,512,1476.9,1.56573525
,October,966.1,5.63,-5.3,508.69,1238.3,1.23213939
,November,798,5.16,1.5,505.65,1492.3,1.0833267
